delta change = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
     35.00     70.00    104.00    138.00    172.00    206.00    240.00    274.00    308.00    342.00    376.00    410.00    444.00    478.00    512.00    546.00    580.00    614.00    648.00    682.00    716.00    750.00    784.00    818.00    852.00    886.00    920.00    954.00    988.00   1022.00   1056.00   1090.00   1124.00   1158.00   1192.00   1226.00   1260.00   1294.00   1328.00   1362.00
     35.70     71.40    106.10    140.80    175.50    210.20    244.90    279.60    314.30    349.00    383.70    418.40    453.10    487.80    522.50    557.20    591.90    626.60    661.30    696.00    730.70    765.40    800.10    834.80    869.50    904.20    938.90    973.60   1008.30   1043.00   1077.70   1112.40   1147.10   1181.80   1216.50   1251.20   1285.90   1320.60   1355.30   1390.00
     36.40     72.80    108.20    143.60    179.00    214.40    249.80    285.20    320.60    356.00    391.40    426.80    462.20    497.60    533.00    568.40    603.80    639.20    674.60    710.00    745.40    780.80    816.20    851.60    887.00    922.40    957.80    993.20   1028.60   1064.00   1099.40   1134.80   1170.20   1205.60   1241.00   1276.40   1311.80   1347.20   1382.60   1418.00
     37.10     74.20    110.30    146.40    182.50    218.60    254.70    290.80    326.90    363.00    399.10    435.20    471.30    507.40    543.50    579.60    615.70    651.80    687.90    724.00    760.10    796.20    832.30    868.40    904.50    940.60    976.70   1012.80   1048.90   1085.00   1121.10   1157.20   1193.30   1229.40   1265.50   1301.60   1337.70   1373.80   1409.90   1446.00
     37.80     75.60    112.40    149.20    186.00    222.80    259.60    296.40    333.20    370.00    406.80    443.60    480.40    517.20    554.00    590.80    627.60    664.40    701.20    738.00    774.80    811.60    848.40    885.20    922.00    958.80    995.60   1032.40   1069.20   1106.00   1142.80   1179.60   1216.40   1253.20   1290.00   1326.80   1363.60   1400.40   1437.20   1474.00
     38.50     77.00    114.50    152.00    189.50    227.00    264.50    302.00    339.50    377.00    414.50    452.00    489.50    527.00    564.50    602.00    639.50    677.00    714.50    752.00    789.50    827.00    864.50    902.00    939.50    977.00   1014.50   1052.00   1089.50   1127.00   1164.50   1202.00   1239.50   1277.00   1314.50   1352.00   1389.50   1427.00   1464.50   1502.00
     39.20     78.40    116.60    154.80    193.00    231.20    269.40    307.60    345.80    384.00    422.20    460.40    498.60    536.80    575.00    613.20    651.40    689.60    727.80    766.00    804.20    842.40    880.60    918.80    957.00    995.20   1033.40   1071.60   1109.80   1148.00   1186.20   1224.40   1262.60   1300.80   1339.00   1377.20   1415.40   1453.60   1491.80   1530.00
     39.90     79.80    118.70    157.60    196.50    235.40    274.30    313.20    352.10    391.00    429.90    468.80    507.70    546.60    585.50    624.40    663.30    702.20    741.10    780.00    818.90    857.80    896.70    935.60    974.50   1013.40   1052.30   1091.20   1130.10   1169.00   1207.90   1246.80   1285.70   1324.60   1363.50   1402.40   1441.30   1480.20   1519.10   1558.00
     40.60     81.20    120.80    160.40    200.00    239.60    279.20    318.80    358.40    398.00    437.60    477.20    516.80    556.40    596.00    635.60    675.20    714.80    754.40    794.00    833.60    873.20    912.80    952.40    992.00   1031.60   1071.20   1110.80   1150.40   1190.00   1229.60   1269.20   1308.80   1348.40   1388.00   1427.60   1467.20   1506.80   1546.40   1586.00
     41.30     82.60    122.90    163.20    203.50    243.80    284.10    324.40    364.70    405.00    445.30    485.60    525.90    566.20    606.50    646.80    687.10    727.40    767.70    808.00    848.30    888.60    928.90    969.20   1009.50   1049.80   1090.10   1130.40   1170.70   1211.00   1251.30   1291.60   1331.90   1372.20   1412.50   1452.80   1493.10   1533.40   1573.70   1614.00
     42.00     84.00    125.00    166.00    207.00    248.00    289.00    330.00    371.00    412.00    453.00    494.00    535.00    576.00    617.00    658.00    699.00    740.00    781.00    822.00    863.00    904.00    945.00    986.00   1027.00   1068.00   1109.00   1150.00   1191.00   1232.00   1273.00   1314.00   1355.00   1396.00   1437.00   1478.00   1519.00   1560.00   1601.00   1642.00
     42.70     85.40    127.10    168.80    210.50    252.20    293.90    335.60    377.30    419.00    460.70    502.40    544.10    585.80    627.50    669.20    710.90    752.60    794.30    836.00    877.70    919.40    961.10   1002.80   1044.50   1086.20   1127.90   1169.60   1211.30   1253.00   1294.70   1336.40   1378.10   1419.80   1461.50   1503.20   1544.90   1586.60   1628.30   1670.00
     43.40     86.80    129.20    171.60    214.00    256.40    298.80    341.20    383.60    426.00    468.40    510.80    553.20    595.60    638.00    680.40    722.80    765.20    807.60    850.00    892.40    934.80    977.20   1019.60   1062.00   1104.40   1146.80   1189.20   1231.60   1274.00   1316.40   1358.80   1401.20   1443.60   1486.00   1528.40   1570.80   1613.20   1655.60   1698.00
     44.10     88.20    131.30    174.40    217.50    260.60    303.70    346.80    389.90    433.00    476.10    519.20    562.30    605.40    648.50    691.60    734.70    777.80    820.90    864.00    907.10    950.20    993.30   1036.40   1079.50   1122.60   1165.70   1208.80   1251.90   1295.00   1338.10   1381.20   1424.30   1467.40   1510.50   1553.60   1596.70   1639.80   1682.90   1726.00
