choose module = 
         1         7        18        30
         5        12        21        37
         6         8        22        33
         1         8        24        32
         4        12        24        33
         5        12        21        33
         1        13        26        35
         5        11        20        30
         6        13        21        33
         4        10        19        33
         2         8        20        32
         1        12        27        39
         6        11        18        32
         6         9        20        31
         4        11        20        31
         5         8        23        32
         6        15        23        32
         3        10        21        34
         4        14        21        35
         4        12        24        36
         1        14        26        39
         5        11        20        32
         3         7        20        30
         1         9        17        34
         5        12        27        40
         2         8        18        29
         1        16        22        37
         1         7        17        31
         4         9        23        32
         6        16        26        39
         2        11        24        35
         1        10        20        34
         3         9        19        29
         4         8        24        32
         2        13        27        38
         5        12        24        37
         5        16        25        36
         2         7        18        30
         5        16        21        36
         2        13        23        37
         2        13        27        40
         5        14        24        33
         4        13        25        37
         4        14        27        38
         5         8        21        33
         2         8        18        31
         2        11        22        36
         2        12        25        35
         6        13        27        40
         5        11        20        30
         1        12        22        33
         2         7        20        32
         5        11        18        29
         6        16        21        36
         1        16        26        37
         5        14        28        36
         5        16        26        40
         4        12        28        40
         1        13        26        37
         4        10        23        33
         4        10        19        29
         2        13        27        39
         6        16        26        37
         2        11        24        33
         4         8        17        29
         4         7        17        33
         2        12        23        33
         1        12        26        36
         5        12        23        33
         5        14        24        32
         1        13        25        36
         3         8        18        33
         4         7        17        33
         1        14        24        33
         4        16        22        35
         1        15        25        35
         6        14        27        36
         2         8        18        30
         1        14        21        36
         2        12        26        38
         3        16        28        36
         2         8        23        34
         3         8        17        30
         5        13        28        36
         4        16        22        37
         2        16        26        39
         5        15        26        40
         2        14        21        33
         6        13        28        40
         5        16        21        37
         3        13        25        37
         4        10        18        32
         3        15        21        33
         5         7        24        36
         1        16        25        38
         5        11        24        34
         1        12        27        35
         4        16        23        34
         1        16        27        38
         5         9        20        34
         3         8        19        32
         4        16        25        36
         1        11        23        32
         2         9        24        33
         1        16        27        38
         1        10        24        36
         3         7        24        37
         4         7        24        34
         2        14        25        39
         2         7        19        30
         5        15        23        32
         6        10        19        33
         5        12        24        32
         5        10        23        35
         4        11        18        34
         2         7        17        32
         4        12        25        38
         1        16        26        37
         6        15        28        37
         1         9        18        30
         4         9        22        32
         5        16        21        35
         2        13        25        37
         3        14        24        34
         1        15        27        36
         4        12        23        35
         1        12        25        39
         1         7        24        35
         5        12        27        40
         1        14        23        35
         3         8        23        34
         4         8        18        29
         5         7        17        33
         1         7        20        30
         2        13        25        38
         6         9        22        32
         5        15        28        36
         3        12        22        33
         5        16        25        37
         4         9        22        32
         5        14        24        36
         1        14        27        35
         1         8        18        34
         6        16        21        34
         2         8        23        32
         5        13        21        32
         3        13        23        32
         5        12        25        37
         2         8        18        31
         4        10        23        37
         6        14        21        35
         3         8        19        29
         3        13        28        35
         6         7        17        29
