   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.80994   0.90255   0.93286   0.76056   0.84974   0.88933
   0.80817   0.89990   0.92959   0.52361   0.61593   0.66799
   0.80849   0.90037   0.93016   0.85995   0.95077   0.97554
   0.80882   0.90086   0.93075   0.86185   0.95334   0.97836
   0.80855   0.90045   0.93030   0.76472   0.85698   0.89407
   0.80886   0.90093   0.93090   0.85925   0.95265   0.97922
   0.80882   0.90089   0.93092   0.80274   0.89627   0.93258
   0.80913   0.90136   0.93151   0.86003   0.95334   0.97977
   0.80923   0.90151   0.93171   0.82553   0.91701   0.94848
   0.80958   0.90203   0.93234   0.86760   0.95976   0.98402
   0.80990   0.90251   0.93293   0.86258   0.95524   0.98098
   0.80915   0.90131   0.93139   0.68393   0.76887   0.80465
   0.80938   0.90164   0.93176   0.84888   0.93751   0.96260
   0.80954   0.90186   0.93205   0.83478   0.92625   0.95573
   0.80923   0.90144   0.93164   0.75871   0.85458   0.89742
   0.80891   0.90091   0.93100   0.75482   0.84225   0.87753
   0.80922   0.90139   0.93159   0.86176   0.95514   0.98116
   0.80957   0.90191   0.93221   0.86807   0.96032   0.98446
   0.80941   0.90156   0.93172   0.78316   0.86230   0.88994
   0.80953   0.90170   0.93189   0.82903   0.91774   0.94661
   0.80984   0.90217   0.93247   0.86235   0.95541   0.98130
   0.81002   0.90237   0.93264   0.84082   0.92479   0.94767
   0.81033   0.90283   0.93319   0.86453   0.95532   0.97966
   0.81019   0.90259   0.93292   0.78558   0.87550   0.91022
   0.81050   0.90305   0.93346   0.86474   0.95544   0.97975
   0.81080   0.90346   0.93394   0.86131   0.95091   0.97528
   0.81071   0.90326   0.93367   0.79583   0.88020   0.91039
   0.81059   0.90300   0.93333   0.78911   0.87296   0.90389
   0.81030   0.90244   0.93255   0.76093   0.83727   0.86416
   0.81064   0.90294   0.93314   0.86930   0.96083   0.98472
   0.81076   0.90309   0.93329   0.83260   0.92091   0.94618
   0.80970   0.90147   0.93130   0.62238   0.71157   0.75776
   0.80978   0.90157   0.93146   0.82359   0.91397   0.94489
   0.81004   0.90195   0.93192   0.85592   0.94642   0.97234
   0.81019   0.90216   0.93218   0.83722   0.92669   0.95575
   0.80981   0.90163   0.93159   0.74258   0.83838   0.87878
   0.81014   0.90212   0.93218   0.86906   0.96087   0.98476
   0.81017   0.90210   0.93212   0.81448   0.89914   0.92719
   0.81042   0.90246   0.93257   0.85521   0.94608   0.97236
   0.81059   0.90272   0.93290   0.84245   0.93358   0.96290
   0.81065   0.90278   0.93300   0.82099   0.90994   0.94121
   0.81029   0.90223   0.93235   0.74456   0.83623   0.87432
   0.80886   0.90003   0.92958   0.54897   0.63397   0.67934
   0.80918   0.90052   0.93018   0.86863   0.96092   0.98486
   0.80890   0.90010   0.92973   0.75663   0.84867   0.88882
   0.80839   0.89933   0.92883   0.71649   0.80518   0.84673
   0.80798   0.89867   0.92802   0.73179   0.81888   0.85461
   0.80826   0.89910   0.92854   0.86009   0.95103   0.97575
   0.80852   0.89949   0.92902   0.85689   0.94790   0.97327
   0.80810   0.89883   0.92820   0.73012   0.81781   0.85295
   0.80836   0.89925   0.92874   0.85618   0.95043   0.97792
   0.80823   0.89907   0.92860   0.78405   0.87722   0.91565
   0.80844   0.89941   0.92905   0.84820   0.94184   0.97068
   0.80830   0.89922   0.92888   0.78107   0.87463   0.91318
   0.80821   0.89907   0.92870   0.79282   0.88068   0.91246
   0.80812   0.89893   0.92859   0.78992   0.88182   0.91813
   0.80834   0.89927   0.92902   0.85093   0.94226   0.96923
   0.80838   0.89923   0.92889   0.81524   0.89378   0.91666
   0.80843   0.89930   0.92900   0.81849   0.90778   0.93899
   0.80842   0.89929   0.92904   0.80689   0.89863   0.93265
   0.80872   0.89975   0.92959   0.86545   0.95780   0.98253
   0.80889   0.89997   0.92984   0.84138   0.92789   0.95282
   0.80910   0.90029   0.93024   0.84889   0.94054   0.96830
   0.80916   0.90039   0.93040   0.82110   0.91387   0.94614
   0.80905   0.90024   0.93026   0.78815   0.88055   0.91672
   0.80936   0.90071   0.93082   0.86835   0.96054   0.98465
   0.80966   0.90117   0.93137   0.86869   0.96075   0.98477
   0.80996   0.90161   0.93190   0.86671   0.95852   0.98298
   0.81012   0.90182   0.93212   0.84250   0.92852   0.95330
   0.81025   0.90198   0.93232   0.83517   0.92321   0.95151
   0.81054   0.90241   0.93284   0.86722   0.95873   0.98308
   0.81075   0.90267   0.93310   0.85140   0.93628   0.95881
   0.81093   0.90294   0.93344   0.84588   0.93756   0.96660
   0.81073   0.90264   0.93312   0.77146   0.86324   0.90170
   0.81085   0.90282   0.93335   0.83586   0.92653   0.95598
   0.81097   0.90295   0.93349   0.83363   0.92016   0.94764
   0.81123   0.90335   0.93398   0.86363   0.95595   0.98160
   0.81005   0.90160   0.93184   0.57575   0.67017   0.72048
   0.80922   0.90037   0.93040   0.64331   0.73735   0.78776
   0.80951   0.90080   0.93093   0.86671   0.95878   0.98318
   0.80948   0.90078   0.93096   0.80342   0.89719   0.93381
   0.80971   0.90112   0.93137   0.85533   0.94668   0.97297
   0.80994   0.90147   0.93181   0.85730   0.94929   0.97573
   0.81013   0.90175   0.93213   0.84907   0.93849   0.96421
   0.81029   0.90194   0.93233   0.84230   0.92790   0.95211
   0.81036   0.90205   0.93249   0.82463   0.91747   0.94925
   0.81059   0.90238   0.93288   0.85613   0.94617   0.97180
   0.81081   0.90272   0.93329   0.85733   0.94900   0.97558
   0.81043   0.90220   0.93274   0.73189   0.83091   0.87673
   0.81002   0.90145   0.93170   0.72640   0.79946   0.82568
   0.81003   0.90152   0.93185   0.81250   0.91163   0.94631
   0.81022   0.90174   0.93204   0.84873   0.93165   0.95237
   0.81048   0.90213   0.93252   0.86329   0.95558   0.98107
   0.81058   0.90224   0.93263   0.83169   0.91752   0.94412
   0.81080   0.90256   0.93301   0.85595   0.94667   0.97275
   0.81055   0.90217   0.93258   0.76025   0.84881   0.88765
   0.81081   0.90256   0.93304   0.86358   0.95570   0.98115
   0.81103   0.90289   0.93345   0.85788   0.94919   0.97542
   0.81065   0.90228   0.93268   0.73155   0.81761   0.85314
   0.81030   0.90170   0.93197   0.73527   0.81994   0.85766
   0.81047   0.90192   0.93221   0.84704   0.93302   0.95723
   0.81061   0.90213   0.93248   0.84119   0.93203   0.96119
   0.81086   0.90249   0.93290   0.86262   0.95234   0.97652
   0.81101   0.90266   0.93308   0.84247   0.92756   0.95214
   0.81072   0.90221   0.93258   0.74865   0.83885   0.88019
   0.81059   0.90202   0.93236   0.78425   0.87503   0.90916
   0.81083   0.90239   0.93281   0.86133   0.95364   0.97972
   0.81107   0.90275   0.93325   0.86200   0.95425   0.98018
   0.81129   0.90307   0.93364   0.85826   0.94934   0.97548
   0.81144   0.90329   0.93392   0.84397   0.93464   0.96359
   0.81158   0.90348   0.93414   0.84207   0.93073   0.95767
   0.81062   0.90197   0.93217   0.60439   0.68459   0.72081
   0.81079   0.90221   0.93247   0.84666   0.93679   0.96437
   0.81090   0.90235   0.93265   0.83511   0.92340   0.95207
   0.81070   0.90204   0.93229   0.76588   0.85718   0.89411
   0.81090   0.90235   0.93267   0.85658   0.94716   0.97312
