   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.79754   0.89167   0.92611   0.84313   0.93741   0.96586
   0.79747   0.89157   0.92604   0.78786   0.88335   0.92163
   0.79689   0.89065   0.92488   0.71727   0.80693   0.84604
   0.79672   0.89043   0.92468   0.77255   0.86959   0.91110
   0.79583   0.88916   0.92322   0.67329   0.77266   0.82332
   0.79615   0.88967   0.92384   0.84092   0.93678   0.96629
   0.79638   0.89005   0.92434   0.82805   0.92565   0.95908
   0.79670   0.89056   0.92497   0.84071   0.93738   0.96809
   0.79697   0.89097   0.92545   0.83496   0.92889   0.95888
   0.79737   0.89162   0.92622   0.85461   0.95213   0.98028
   0.79761   0.89198   0.92668   0.83092   0.92660   0.95860
   0.79799   0.89258   0.92738   0.85176   0.94840   0.97689
   0.79835   0.89312   0.92800   0.84965   0.94418   0.97146
   0.79770   0.89217   0.92688   0.70463   0.80196   0.84753
   0.79807   0.89275   0.92758   0.85183   0.94862   0.97714
   0.79836   0.89317   0.92806   0.83898   0.93313   0.96271
   0.79793   0.89251   0.92730   0.73607   0.82929   0.87280
   0.79797   0.89257   0.92738   0.80405   0.89833   0.93336
   0.79824   0.89292   0.92773   0.83703   0.92673   0.95266
   0.79790   0.89241   0.92713   0.74829   0.84277   0.88398
   0.79827   0.89299   0.92782   0.85239   0.94903   0.97747
   0.79833   0.89309   0.92797   0.80723   0.90292   0.93905
   0.79861   0.89350   0.92845   0.83966   0.93366   0.96314
   0.79896   0.89403   0.92907   0.85076   0.94635   0.97470
   0.79877   0.89374   0.92874   0.77029   0.86505   0.90473
   0.79804   0.89264   0.92741   0.68960   0.78361   0.82912
   0.79772   0.89202   0.92653   0.75117   0.83073   0.86131
   0.79796   0.89240   0.92702   0.83283   0.93070   0.96372
   0.79834   0.89300   0.92773   0.85556   0.95258   0.98053
   0.79816   0.89274   0.92745   0.77136   0.86643   0.90621
   0.79848   0.89324   0.92805   0.84736   0.94383   0.97341
   0.79870   0.89350   0.92826   0.83109   0.91890   0.94435
   0.79897   0.89390   0.92873   0.84074   0.93448   0.96369
   0.79912   0.89413   0.92904   0.82206   0.91775   0.95241
   0.79946   0.89462   0.92959   0.85073   0.94466   0.97174
   0.79878   0.89361   0.92842   0.69448   0.79001   0.83879
   0.79807   0.89251   0.92708   0.68948   0.77985   0.82464
   0.79765   0.89184   0.92629   0.73250   0.82376   0.86599
   0.79797   0.89232   0.92685   0.84751   0.94192   0.96968
   0.79827   0.89277   0.92736   0.84479   0.93872   0.96694
   0.79850   0.89307   0.92766   0.83450   0.92428   0.95102
   0.79862   0.89326   0.92791   0.81688   0.91260   0.94738
   0.79816   0.89257   0.92709   0.72659   0.82107   0.86322
   0.79845   0.89301   0.92762   0.84343   0.93909   0.96919
   0.79876   0.89347   0.92815   0.84756   0.94156   0.96933
   0.79907   0.89395   0.92873   0.84858   0.94490   0.97437
   0.79926   0.89420   0.92898   0.83033   0.92070   0.94868
   0.79957   0.89467   0.92953   0.84828   0.94400   0.97328
   0.79974   0.89494   0.92989   0.82780   0.92424   0.95826
   0.79969   0.89486   0.92982   0.79061   0.88557   0.92457
   0.79935   0.89438   0.92931   0.74567   0.84326   0.88881
   0.79844   0.89301   0.92767   0.65062   0.74572   0.79597
   0.79829   0.89280   0.92748   0.77377   0.87034   0.91202
   0.79852   0.89319   0.92798   0.83681   0.93533   0.96802
   0.79882   0.89363   0.92848   0.84786   0.94191   0.96962
   0.79888   0.89373   0.92863   0.80877   0.90409   0.94051
   0.79923   0.89427   0.92926   0.85623   0.95277   0.98058
   0.79956   0.89476   0.92984   0.85364   0.94916   0.97700
   0.79908   0.89402   0.92898   0.71934   0.81278   0.85851
   0.79786   0.89199   0.92626   0.59706   0.66855   0.70263
   0.79781   0.89190   0.92618   0.78859   0.88215   0.91989
   0.79812   0.89239   0.92676   0.84993   0.94568   0.97420
   0.79838   0.89279   0.92724   0.84172   0.93721   0.96758
   0.79804   0.89228   0.92670   0.74122   0.83654   0.88179
   0.79831   0.89269   0.92717   0.84399   0.93769   0.96598
