   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.23297   0.41116   0.54669   0.19958   0.35635   0.47988
   0.23306   0.41135   0.54700   0.25000   0.43795   0.57914
   0.23313   0.41153   0.54729   0.24934   0.43696   0.57802
   0.23320   0.41169   0.54754   0.24689   0.43313   0.57353
   0.23295   0.41108   0.54655   0.18192   0.32701   0.44316
   0.23300   0.41119   0.54671   0.24238   0.42548   0.56379
   0.23308   0.41137   0.54701   0.24941   0.43705   0.57813
   0.23310   0.41143   0.54711   0.23827   0.41941   0.55715
   0.23307   0.41135   0.54699   0.22695   0.40120   0.53514
   0.23311   0.41143   0.54710   0.24039   0.42162   0.55822
   0.23318   0.41161   0.54739   0.24935   0.43697   0.57803
   0.23323   0.41172   0.54757   0.24302   0.42708   0.56644
   0.23315   0.41153   0.54728   0.21710   0.38547   0.51628
   0.23323   0.41172   0.54757   0.25000   0.43794   0.57911
   0.23331   0.41189   0.54785   0.24895   0.43635   0.57732
   0.23334   0.41195   0.54795   0.23971   0.42136   0.55904
   0.23325   0.41175   0.54763   0.21584   0.38324   0.51334
   0.23333   0.41194   0.54792   0.25000   0.43794   0.57910
   0.23341   0.41211   0.54820   0.24942   0.43707   0.57813
   0.23346   0.41222   0.54839   0.24412   0.42874   0.56830
   0.23332   0.41188   0.54783   0.20345   0.36260   0.48744
   0.23339   0.41206   0.54811   0.25000   0.43793   0.57910
   0.23347   0.41223   0.54839   0.24943   0.43707   0.57813
