   ID       GA1       GA2       GA3
  733    0.7345    0.8348    0.8842
  734    0.7347    0.8352    0.8847
  735    0.7344    0.8348    0.8843
  736    0.7342    0.8344    0.8839
  737    0.7339    0.8340    0.8835
  738    0.7341    0.8344    0.8840
  739    0.7343    0.8348    0.8845
  740    0.7345    0.8351    0.8850
  741    0.7347    0.8355    0.8854
  742    0.7345    0.8351    0.8851
  743    0.7342    0.8347    0.8847
  744    0.7340    0.8344    0.8843
  745    0.7337    0.8340    0.8839
  746    0.7335    0.8336    0.8836
  747    0.7332    0.8333    0.8832
  748    0.7334    0.8336    0.8837
  749    0.7336    0.8340    0.8842
  750    0.7334    0.8337    0.8838
  751    0.7336    0.8340    0.8843
  752    0.7338    0.8344    0.8847
  753    0.7335    0.8340    0.8844
  754    0.7337    0.8344    0.8848
  755    0.7339    0.8348    0.8853
  756    0.7341    0.8351    0.8858
  757    0.7336    0.8341    0.8843
  758    0.7338    0.8345    0.8848
  759    0.7333    0.8335    0.8833
  760    0.7331    0.8331    0.8830
  761    0.7333    0.8335    0.8834
  762    0.7330    0.8331    0.8831
  763    0.7332    0.8335    0.8836
  764    0.7334    0.8339    0.8840
  765    0.7336    0.8342    0.8845
  766    0.7338    0.8346    0.8849
  767    0.7340    0.8349    0.8854
  768    0.7342    0.8353    0.8858
  769    0.7339    0.8349    0.8855
  770    0.7337    0.8346    0.8851
  771    0.7335    0.8342    0.8848
  772    0.7332    0.8339    0.8844
  773    0.7330    0.8335    0.8841
